Color	Position	Sample Name	Gene Name	Condition Name	Cq	Cq Mean	Cq Error	Excluded	Sample Type	Sample Type RQ	Gene Type	Condition Type	Replicate Group	Ratio	Ratio Error	Normalized Ratio	Normalized Ratio Error	Scaled Ratio	Scaled Ratio Error	Dye	Edited Call	Failure	Slope	EPF	Notes	Sample Prep Notes	Number
255;234;79;79	G4	04	18S		12.51	12.66	0.21	Unchecked	Unknown	Unknown	Reference	Unknown	G4	-	-	-	-	-	-	SYBR Green I	 	None	1.05	5.10			76
255;234;79;79	G5	05	18S		28.92	29.02	0.14	Unchecked	Unknown	Unknown	Reference	Unknown	G5	-	-	-	-	-	-	SYBR Green I	 	None	2.66	6.00			77
255;234;79;79	G6	06	18S		19.11	19.34	0.32	Unchecked	Unknown	Unknown	Reference	Unknown	G6	-	-	-	-	-	-	SYBR Green I	 	None	2.00	6.09			78
255;234;79;79	G7	10	18S		16.23	16.22	0.01	Unchecked	Unknown	Unknown	Reference	Unknown	G7	-	-	-	-	-	-	SYBR Green I	 	None	1.86	5.96			79
255;234;79;79	G8	12	18S		14.17	14.13	0.06	Unchecked	Unknown	Unknown	Reference	Unknown	G8	-	-	-	-	-	-	SYBR Green I	 	None	1.56	5.66			80
255;103;154;47	G11	15	18S		11.63	11.63	0.00	Unchecked	Unknown	Unknown	Reference	Unknown	G11	-	-	-	-	-	-	SYBR Green I	 	None	1.85	5.78			83
255;180;73;149	G12	16	18S		13.66	13.63	0.05	Unchecked	Unknown	Unknown	Reference	Unknown	G12	-	-	-	-	-	-	SYBR Green I	 	None	1.26	4.97			84
255;95;103;174	H1	01	18S		12.65	12.54	0.16	Unchecked	Unknown	Unknown	Reference	Unknown	G1	-	-	-	-	-	-	SYBR Green I	 	None	0.41	2.95			85
255;95;103;174	H2	02	18S		18.44	18.44	0.01	Unchecked	Unknown	Unknown	Reference	Unknown	G2	-	-	-	-	-	-	SYBR Green I	 	None	2.32	6.40			86
255;95;103;174	H3	03	18S		13.07	12.98	0.13	Unchecked	Unknown	Unknown	Reference	Unknown	G3	-	-	-	-	-	-	SYBR Green I	 	None	1.23	4.91			87
255;95;103;174	H4	04	18S		12.81	12.66	0.21	Unchecked	Unknown	Unknown	Reference	Unknown	G4	-	-	-	-	-	-	SYBR Green I	 	None	1.06	5.03			88
255;47;73;113	H5	05	18S		29.12	29.02	0.14	Unchecked	Unknown	Unknown	Reference	Unknown	G5	-	-	-	-	-	-	SYBR Green I	 	None	2.42	5.73			89
255;47;73;113	H6	06	18S		19.56	19.34	0.32	Unchecked	Unknown	Unknown	Reference	Unknown	G6	-	-	-	-	-	-	SYBR Green I	 	None	1.23	4.92			90
255;47;73;113	H7	10	18S		16.21	16.22	0.01	Unchecked	Unknown	Unknown	Reference	Unknown	G7	-	-	-	-	-	-	SYBR Green I	 	None	1.68	5.80			91
255;132;197;238	H8	12	18S		14.08	14.13	0.06	Unchecked	Unknown	Unknown	Reference	Unknown	G8	-	-	-	-	-	-	SYBR Green I	 	None	1.56	5.73			92
255;103;154;47	H11	15	18S		11.63	11.63	0.00	Unchecked	Unknown	Unknown	Reference	Unknown	G11	-	-	-	-	-	-	SYBR Green I	 	None	2.29	6.34			95
255;180;73;149	H12	16	18S		13.59	13.63	0.05	Unchecked	Unknown	Unknown	Reference	Unknown	G12	-	-	-	-	-	-	SYBR Green I	 	None	1.44	5.33			96
255;103;103;103	A2	02	ROR		-	-	-	Checked	Unknown	Unknown	Target	Unknown	A2	-	-	-	-	-	-	SYBR Green I	 		-	-			2
255;103;103;103	A9	13	ROR		-	-	-	Checked	Unknown	Unknown	Target	Unknown	A9	-	-	-	-	-	-	SYBR Green I	 		-	-			9
255;103;103;103	A10	14	ROR		-	-	-	Checked	Unknown	Unknown	Target	Unknown	A10	-	-	-	-	-	-	SYBR Green I	 		-	-			10
255;132;197;238	B2	02	ROR		-	-	-	Checked	Unknown	Unknown	Target	Unknown	A2	-	-	-	-	-	-	SYBR Green I	 		-	-			14
255;132;197;238	B9	13	ROR		-	-	-	Checked	Unknown	Unknown	Target	Unknown	A9	-	-	-	-	-	-	SYBR Green I	 		-	-			21
255;132;197;238	B10	14	ROR		-	-	-	Checked	Unknown	Unknown	Target	Unknown	A10	-	-	-	-	-	-	SYBR Green I	 		-	-			22
255;66;41;24	C2	02	ROR		-	-	-	Checked	Unknown	Unknown	Target	Unknown	A2	-	-	-	-	-	-	SYBR Green I	 		-	-			26
255;66;41;24	C9	13	ROR		-	-	-	Checked	Unknown	Unknown	Target	Unknown	A9	-	-	-	-	-	-	SYBR Green I	 		-	-			33
255;66;41;24	C10	14	ROR		-	-	-	Checked	Unknown	Unknown	Target	Unknown	A10	-	-	-	-	-	-	SYBR Green I	 		-	-			34
255;47;73;113	D1	01	LincSurv		-	-	-	Checked	Unknown	Unknown	Target	Unknown	D1	-	-	-	-	-	-	SYBR Green I	 		-	-			37
255;234;79;79	D9	13	LincSurv		-	-	-	Checked	Unknown	Unknown	Target	Unknown	D9	-	-	-	-	-	-	SYBR Green I	 		-	-			45
255;234;79;79	D10	14	LincSurv		-	-	-	Checked	Unknown	Unknown	Target	Unknown	D10	-	-	-	-	-	-	SYBR Green I	 		-	-			46
255;47;73;113	E1	01	LincSurv		-	-	-	Checked	Unknown	Unknown	Target	Unknown	D1	-	-	-	-	-	-	SYBR Green I	 		-	-			49
255;234;79;79	E4	04	LincSurv		-	-	-	Checked	Unknown	Unknown	Target	Unknown	D4	-	-	-	-	-	-	SYBR Green I	 		-	-			52
255;234;79;79	E9	13	LincSurv		-	-	-	Checked	Unknown	Unknown	Target	Unknown	D9	-	-	-	-	-	-	SYBR Green I	 		-	-			57
255;234;79;79	E10	14	LincSurv		-	-	-	Checked	Unknown	Unknown	Target	Unknown	D10	-	-	-	-	-	-	SYBR Green I	 		-	-			58
255;34;176;146	E12	16	LincSurv		-	-	-	Checked	Unknown	Unknown	Target	Unknown	D12	-	-	-	-	-	-	SYBR Green I	 		-	-			60
255;47;73;113	F1	01	LincSurv		-	-	-	Checked	Unknown	Unknown	Target	Unknown	D1	-	-	-	-	-	-	SYBR Green I	 		-	-			61
255;234;79;79	F4	04	LincSurv		-	-	-	Checked	Unknown	Unknown	Target	Unknown	D4	-	-	-	-	-	-	SYBR Green I	 		-	-			64
255;234;79;79	F9	13	LincSurv		-	-	-	Checked	Unknown	Unknown	Target	Unknown	D9	-	-	-	-	-	-	SYBR Green I	 		-	-			69
255;234;79;79	F10	14	LincSurv		-	-	-	Checked	Unknown	Unknown	Target	Unknown	D10	-	-	-	-	-	-	SYBR Green I	 		-	-			70
255;34;176;146	F12	16	LincSurv		-	-	-	Checked	Unknown	Unknown	Target	Unknown	D12	-	-	-	-	-	-	SYBR Green I	 		-	-			72
255;234;79;79	G9	13	18S		-	-	-	Checked	Unknown	Unknown	Reference	Unknown	G9	-	-	-	-	-	-	SYBR Green I	 		-	-			81
255;234;79;79	G10	14	18S		-	-	-	Checked	Unknown	Unknown	Reference	Unknown	G10	-	-	-	-	-	-	SYBR Green I	 		-	-			82
255;132;197;238	H9	13	18S		-	-	-	Checked	Unknown	Unknown	Reference	Unknown	G9	-	-	-	-	-	-	SYBR Green I	 		-	-			93
255;132;197;238	H10	14	18S		-	-	-	Checked	Unknown	Unknown	Reference	Unknown	G10	-	-	-	-	-	-	SYBR Green I	 		-	-			94
